"Page","Image Role","Current Path","Current Size","Desktop Rendered","Mobile Rendered","Expected Ratio","CSS Behavior","Reused Roles","Separate Sizes Needed","Recommended Size","Max File Size","Format","Quality/Compression","Action","Notes","Alt","Loading","Fetch Priority","Width Attr","Height Attr","File Bytes"
"index.html","hero","/assets/images/heroes/home-hero.webp","1024x572","380x212","0x0","16:9","object-fit:fill; object-position:50% 50%; max-height:none; css:380pxx212.266px; aspect-ratio:auto 1024 / 572","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","ESP32 development workspace with breadboard, relays, and display","","high","1024","572","76632"
"index.html","featured/card","/assets/visuals/projects/thumbs/esp32-iot-weather-station-thumb.svg","240x150","112x88","88x74","4:3","object-fit:cover; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:auto 1376 / 768","no","no","800x600","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","4652"
"index.html","featured/card","/assets/visuals/projects/thumbs/esp32-oled-weather-clock-thumb.svg","240x150","112x88","88x74","4:3","object-fit:cover; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:auto 1376 / 768","no","no","800x600","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","4568"
"index.html","featured/card","/assets/images/generated/esp32-smart-thermostat.webp","1600x900","112x88","88x74","4:3","object-fit:cover; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:auto 1376 / 768","featured/card+other","no","800x600","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Already optimized generated asset; preserve unless crop/content is specifically rejected. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","111858"
"index.html","featured/card","/assets/visuals/projects/thumbs/esp32-line-following-robot-thumb.svg","240x150","112x88","88x74","4:3","object-fit:cover; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:auto 1376 / 768","no","no","800x600","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","4837"
"index.html","featured/card","/assets/visuals/projects/thumbs/esp32-wifi-robot-controller-thumb.svg","240x150","112x88","88x74","4:3","object-fit:cover; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:auto 1376 / 768","no","no","800x600","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","4671"
"index.html","other","/assets/images/projects/project-a-17.webp","unknown","74x46","74x46","16:10","object-fit:cover; object-position:50% 50%; max-height:none; css:74pxx45.5px; aspect-ratio:auto 1376 / 768","no","no","1200x675","140 KB","WebP","WebP q78-84","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop.","","lazy","","1376","768","222262"
"index.html","other","/assets/images/generated/esp32-smart-thermostat.webp","1600x900","74x46","74x46","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:74pxx45.5px; aspect-ratio:auto 1376 / 768","featured/card+other","no","1200x675","140 KB","WebP","WebP q78-84","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","","lazy","","1376","768","111858"
"index.html","other","/assets/images/projects/project-b-02.webp","unknown","74x46","74x46","16:10","object-fit:cover; object-position:50% 50%; max-height:none; css:74pxx45.5px; aspect-ratio:auto 1376 / 768","no","no","1200x675","140 KB","WebP","WebP q78-84","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop.","","lazy","","1376","768","231784"
"index.html","other","https://cdn-learn.adafruit.com/assets/assets/000/097/111/medium800/adafruit_products_BME280_top_angle.jpg","unknown","274x200","0x0","4:3","object-fit:contain; object-position:50% 50%; max-height:200px; css:274pxx200px; aspect-ratio:auto 200 / 200","no","no","1200x675","140 KB","WebP","WebP q78-84","KEEP","","BME280 environmental sensor breakout board","lazy","","200","200",""
