PageType,Title,Slug,SourceFile,WordCount,UniqueValue,TechnicalDepth,GenericContentLevel,DuplicateRisk,TrustSignals,OriginalExamples,TroubleshootingQuality,SafetyQuality,InternalLinks,Images,Diagram,CodeQuality,AdSenseRisk,Classification,RecommendedAction,Priority
Hub,Learn ESP32. Build real projects.,/,,1655,Strong,Moderate,Low,Low,Present,Present,Present,Present,154,18 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Hub,Choose Your Learning Path,learning.html,content/pages/learning.yaml,1201,Strong,Moderate,Low,Low,Present,Present,Present,Present,92,5 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Component Encyclopedia,components.html,,586,Moderate,Strong,Medium,Low,Present,Present,Present,Present,39,11 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Hub,ESP32 Learning Guides,guides.html,,855,Moderate,Moderate,Low,Low,Present,Present,Present,Present,51,20 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,ESP32 Project Categories,category,content/categories.yaml; tools/build_categories.py,468,Moderate,Strong,Medium,Low,Present,Present,Present,Present,45,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Learning Together with Your Child,parents.html,content/pages/parents.yaml,343,Weak,Moderate,High,Low,Present,Present,Present,Present,31,6 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Teach ESP32 in Your Classroom,teachers.html,content/pages/teachers.yaml,721,Moderate,Strong,Medium,Low,Present,Present,Present,Present,34,7 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Learning Resources,downloads.html,content/pages/downloads.yaml,374,Weak,Moderate,Medium,Low,Present,Present,Present,Present,43,2 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Fast calculators for real ESP32 decisions.,tools.html,content/pages/tools.yaml,454,Moderate,Strong,Medium,Low,Present,Present,Present,Present,31,2 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,News & Updates,news.html,content/pages/news.yaml,340,Weak,Moderate,High,Low,Present,Present,Present,Present,38,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,"Practical electronics education, built for real makers.",about.html,content/pages/about.yaml,365,Weak,Moderate,Medium,Low,Present,Present,Present,Present,33,2 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Author & Editorial Team,author.html,content/pages/author.yaml,344,Weak,Moderate,High,Low,Present,Present,Present,Present,29,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
